trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-196.74177592945003,"{0: 15, 1: 4, 2: 6, 3: 3, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.98}",30,0,-59.60369003719293,"{0: 20, 1: 3, 2: 7, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.96}",20,0,-88.7000308157375,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.94}",25,0,-172.72556310823404,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.92}",20,0,-193.32758155213438,"{0: 10, 1: 3, 2: 3, 3: 0, 4: 4}",0
6,False,"{'a': 0.5, 'e': 0.9}",25,0,-162.93046461232186,"{0: 13, 1: 5, 2: 3, 3: 2, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.88}",20,0,-107.52675556511704,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.86}",30,0,-187.2335848066397,"{0: 16, 1: 5, 2: 6, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.84}",20,0,-170.94015352365025,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.8200000000000001}",30,0,-148.71737884668374,"{0: 18, 1: 2, 2: 8, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.8}",20,0,-94.35401902823988,"{0: 10, 1: 3, 2: 5, 3: 2, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.78}",20,0,-101.41150097501966,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.76}",20,0,-102.26268365297238,"{0: 8, 1: 4, 2: 7, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.74}",20,2,-132.07110587658477,"{0: 10, 1: 0, 2: 6, 3: 0, 4: 2}",1
15,False,"{'a': 0.5, 'e': 0.72}",25,0,-115.21299044327993,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.7}",25,0,-187.49796615591174,"{0: 12, 1: 4, 2: 6, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.6799999999999999}",25,0,-96.74779324399036,"{0: 15, 1: 0, 2: 8, 3: 2, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.6599999999999999}",30,0,-169.20090034584902,"{0: 19, 1: 2, 2: 6, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.64}",20,0,-58.45291118010394,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.62}",25,0,-201.70784394656286,"{0: 15, 1: 1, 2: 5, 3: 0, 4: 4}",0
21,False,"{'a': 0.5, 'e': 0.6}",20,2,-37.07020622596112,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
22,False,"{'a': 0.5, 'e': 0.5800000000000001}",30,0,-297.24520444977344,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 6}",0
23,False,"{'a': 0.5, 'e': 0.56}",20,0,-129.79136399299264,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
24,False,"{'a': 0.5, 'e': 0.54}",20,0,-199.0346468934136,"{0: 11, 1: 0, 2: 3, 3: 3, 4: 3}",0
25,False,"{'a': 0.5, 'e': 0.52}",25,0,-114.66249872344788,"{0: 14, 1: 1, 2: 8, 3: 2, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.5}",25,0,-234.88916882164384,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 5}",0
27,False,"{'a': 0.5, 'e': 0.48}",25,0,-79.47375824053373,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.45999999999999996}",20,0,-65.28779666689233,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.43999999999999995}",30,11,-38.133482593205414,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 1}",1
30,False,"{'a': 0.5, 'e': 0.42000000000000004}",30,7,-40.762778909179524,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 0}",1
31,False,"{'a': 0.5, 'e': 0.4}",30,8,-132.83567168805433,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 2}",1
32,False,"{'a': 0.5, 'e': 0.38}",30,0,-184.6046945028316,"{0: 15, 1: 0, 2: 13, 3: 1, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.36}",20,0,-24.829594681406206,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.33999999999999997}",20,0,-43.78175602505551,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
35,False,"{'a': 0.5, 'e': 0.31999999999999995}",30,0,-226.79873014657795,"{0: 18, 1: 1, 2: 6, 3: 1, 4: 4}",0
36,False,"{'a': 0.5, 'e': 0.29999999999999993}",20,0,-92.59850073834303,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
37,False,"{'a': 0.5, 'e': 0.28}",30,0,-159.34024405814108,"{0: 19, 1: 0, 2: 8, 3: 1, 4: 2}",0
38,False,"{'a': 0.5, 'e': 0.26}",25,0,-101.08676859219749,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
39,False,"{'a': 0.5, 'e': 0.24}",20,0,-52.17132315838579,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
40,False,"{'a': 0.5, 'e': 0.21999999999999997}",25,0,-284.1406739498198,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 6}",0
41,False,"{'a': 0.5, 'e': 0.19999999999999996}",20,0,-235.673004942891,"{0: 10, 1: 1, 2: 4, 3: 0, 4: 5}",0
42,False,"{'a': 0.5, 'e': 0.17999999999999994}",20,0,-73.24968290630952,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
43,False,"{'a': 0.5, 'e': 0.16000000000000003}",30,0,-227.1298523484101,"{0: 18, 1: 1, 2: 6, 3: 1, 4: 4}",0
44,False,"{'a': 0.5, 'e': 0.14}",30,1,-135.95901276479813,"{0: 17, 1: 0, 2: 11, 3: 0, 4: 1}",1
45,False,"{'a': 0.5, 'e': 0.12}",30,0,-197.55900556092772,"{0: 20, 1: 0, 2: 6, 3: 0, 4: 4}",0
46,False,"{'a': 0.5, 'e': 0.09999999999999998}",30,0,-36.631041776763496,"{0: 24, 1: 0, 2: 6, 3: 0, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.07999999999999996}",25,0,-305.02210133239385,"{0: 11, 1: 0, 2: 8, 3: 0, 4: 6}",0
48,False,"{'a': 0.5, 'e': 0.05999999999999994}",20,0,-139.1949852404657,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
