trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9, 'e': 1.0}",20,0,-96.42203622963163,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
2,False,"{'a': 0.9, 'e': 0.9960119680798085}",20,0,-103.26589738844038,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
3,False,"{'a': 0.9, 'e': 0.9920477452738845}",20,0,-97.96384048524173,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
4,False,"{'a': 0.9, 'e': 0.9881071424336685}",20,0,-69.88929663793336,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 0}",0
5,False,"{'a': 0.9, 'e': 0.9841899722852103}",20,0,-122.64048781018275,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",0
6,False,"{'a': 0.9, 'e': 0.9802960494069208}",25,0,-214.19274758267517,"{0: 14, 1: 2, 2: 4, 3: 1, 4: 4}",0
7,False,"{'a': 0.9, 'e': 0.9764251902076271}",20,0,-117.35167161141703,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
8,False,"{'a': 0.9, 'e': 0.9725772129049324}",20,0,-224.81384024263562,"{0: 6, 1: 2, 2: 8, 3: 1, 4: 3}",0
9,False,"{'a': 0.9, 'e': 0.968751937503875}",20,0,-144.018299926703,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
10,False,"{'a': 0.9, 'e': 0.9649491857758771}",20,0,-56.22350153501321,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
11,False,"{'a': 0.9, 'e': 0.9611687812379854}",25,0,-87.85292782040666,"{0: 13, 1: 6, 2: 5, 3: 1, 4: 0}",0
12,False,"{'a': 0.9, 'e': 0.9574105491323945}",25,0,-130.3191034928799,"{0: 16, 1: 4, 2: 1, 3: 2, 4: 2}",0
13,False,"{'a': 0.9, 'e': 0.95367431640625}",20,0,-52.98839091257352,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
14,False,"{'a': 0.9, 'e': 0.9499599116917267}",20,0,-191.41869780040867,"{0: 10, 1: 1, 2: 4, 3: 2, 4: 3}",0
15,False,"{'a': 0.9, 'e': 0.9462671652863783}",20,0,-47.91146235987212,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
16,False,"{'a': 0.9, 'e': 0.9425959091337544}",25,0,-205.24052015505634,"{0: 13, 1: 2, 2: 5, 3: 2, 4: 3}",0
17,False,"{'a': 0.9, 'e': 0.9389459768042786}",25,0,-125.47777324467171,"{0: 14, 1: 4, 2: 4, 3: 2, 4: 1}",0
18,False,"{'a': 0.9, 'e': 0.935317203476387}",30,0,-36.32019322727182,"{0: 22, 1: 5, 2: 2, 3: 1, 4: 0}",0
19,False,"{'a': 0.9, 'e': 0.93170942591792}",20,0,-44.439751465005806,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
20,False,"{'a': 0.9, 'e': 0.9281224824677663}",25,0,-174.53578703910827,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
21,False,"{'a': 0.9, 'e': 0.9245562130177514}",25,0,-93.64214880491251,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
22,False,"{'a': 0.9, 'e': 0.9210104589947722}",20,0,-115.28866741839508,"{0: 8, 1: 6, 2: 5, 3: 0, 4: 1}",0
23,False,"{'a': 0.9, 'e': 0.9174850633431687}",20,0,-80.84561686881416,"{0: 11, 1: 0, 2: 8, 3: 1, 4: 0}",0
24,False,"{'a': 0.9, 'e': 0.9139798705073319}",25,0,-189.48937099891074,"{0: 14, 1: 1, 2: 6, 3: 1, 4: 3}",0
25,False,"{'a': 0.9, 'e': 0.9104947264145444}",20,0,-71.827257302032,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
26,False,"{'a': 0.9, 'e': 0.9070294784580498}",20,0,-152.21514989987074,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
27,False,"{'a': 0.9, 'e': 0.9035839754803451}",30,0,-166.918257799324,"{0: 16, 1: 3, 2: 9, 3: 0, 4: 2}",0
28,False,"{'a': 0.9, 'e': 0.900158067756698}",30,2,-123.59213357961346,"{0: 19, 1: 2, 2: 4, 3: 1, 4: 2}",1
